full_model,base_model,category,mpg_combined,seating,msrp,description
Corolla LE,Corolla,Car,36,5,22175,"The base gas-sedan version of the Corolla lineup: equipped with reliable efficiency, standard safety tech (Toyota Safety Sense 3.0), an 8-inch touchscreen with wireless Apple CarPlay and Android Auto, and comfortable standard seats. It focuses on practicality and value—ideal for someone wanting a dependable everyday sedan without extra frills."
Corolla SE,Corolla,Car,36,5,24615,"A sport-style upgrade over the LE: adds 18-inch alloy wheels, a gloss-black sport mesh grille, sport-tuned suspension, and sport fabric front seats. It brings more visual flair and slightly sharper handling while retaining the same efficient powertrain—perfect for those who want a bit more personality in their compact sedan."
Corolla FX,Corolla,Car,36,5,26500,"A style-forward special edition built on the SE’s sporty base: features satin-black 18-inch wheels with machined accents, blacked-out roof accents or badges, sport seats with contrast stitching (for example orange), and wireless charging. The FX is targeted at buyers who prioritize aesthetic upgrades and a distinctive look, while maintaining the same core Corolla platform."
Corolla XSE,Corolla,Car,36,5,27890,"The top gas-engine trim of the Corolla sedan: combines the sport attributes of the SE/FX with more premium touches—such as SofTex®-trimmed heated front seats, a power-adjustable driver seat, wireless smartphone charger, possibly a larger digital gauge display, and more refined interior materials. It is suited for buyers who want both dynamic styling and greater comfort without stepping up to the hybrid."
Corolla Hybrid LE,Corolla Hybrid,Car,50,5,23825,"The entry point for the hybrid version of the Corolla: delivers strong fuel economy (around 50 mpg combined) using the hybrid powertrain, while keeping the core features of the LE sedan—good tech, safety, reliability. Great choice for those whose priority is cost of ownership and fuel savings rather than high performance or premium extras."
Corolla Hybrid SE,Corolla Hybrid,Car,50,5,26265,"Hybrid drivetrain plus sport-oriented styling and handling upgrades: builds on the Hybrid LE’s efficiency with additional features such as sport wheels, more aggressive exterior accents, sport seats, driving-mode options (Normal/Eco/Sport). A strong compromise for drivers wanting better fuel economy paired with a tone of sportiness."
Corolla Hybrid XLE,Corolla Hybrid,Car,50,5,28190,"The flagship hybrid trim of the Corolla sedan line: combines the highest level of amenities (premium upholstery, heated front seats, possibly larger touchscreen, wireless charger) with hybrid efficiency. Excellent for drivers who want the environmental and economic benefits of a hybrid but also expect a fairly upscale interior and feature set."
Corolla Hatchback SE,Corolla Hatchback,Car,35,5,23505,The entry hatchback variant of the Corolla: offers the same core engine and efficient economy but in a hatch-body that grants added cargo flexibility and a slightly more youthful image. Ideal for someone who values utility and style while sticking to a compact footprint.
Corolla Hatchback FX,Corolla Hatchback,Car,35,5,26805,"A sport-centric hatch version with visual and handling enhancements: features include satin-black 18-inch wheels, rear spoiler, blacked-out accents, sport seats with contrast stitching, and perhaps lowered stance. This trim targets buyers seeking an edgy compact car that stands out in the hatchback segment."
Corolla Hatchback XSE,Corolla Hatchback,Car,35,5,28175,"Top-trim hatchback variant: takes the utility of the hatch body and adds premium comfort/features—heated and trimmed front seats, higher quality materials, enhanced infotainment—and pairs it with the aggressive styling of the FX so you get both practical cargo room and a more upscale-sporty experience."
